
---------- Begin Simulation Statistics ----------
final_tick                               1396953022500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 115140                       # Simulator instruction rate (inst/s)
host_mem_usage                                6345380                       # Number of bytes of host memory used
host_op_rate                                   171669                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  8685.04                       # Real time elapsed on the host
host_tick_rate                              160845851                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000003                       # Number of instructions simulated
sim_ops                                    1490953066                       # Number of ops (including micro ops) simulated
sim_seconds                                  1.396953                       # Number of seconds simulated
sim_ticks                                1396953022500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 202231077                       # number of cc regfile reads
system.cpu.cc_regfile_writes                204940630                       # number of cc regfile writes
system.cpu.committedInsts                  1000000003                       # Number of Instructions Simulated
system.cpu.committedOps                    1490953066                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.793906                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.793906                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                1473758675                       # number of floating regfile reads
system.cpu.fp_regfile_writes                815309879                       # number of floating regfile writes
system.cpu.idleCycles                          931091                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                46446                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 36721848                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.545626                       # Inst execution rate
system.cpu.iew.exec_refs                    508103219                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  192390645                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 4235871                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             315810580                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                507                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6355                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            192924393                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1527755315                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             315712574                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            185791                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1524428635                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  38865                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents             804977909                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 361370                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles             806024282                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           9419                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        11981                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          34465                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1408738283                       # num instructions consuming a value
system.cpu.iew.wb_count                    1520759565                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.604418                       # average fanout of values written-back
system.cpu.iew.wb_producers                 851466280                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.544313                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1524193379                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1578548465                       # number of integer regfile reads
system.cpu.int_regfile_writes               495238579                       # number of integer regfile writes
system.cpu.ipc                               0.357922                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.357922                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1312912      0.09%      0.09% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             421781779     27.66%     27.75% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                20942      0.00%     27.75% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               9094966      0.60%     28.35% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd           133506575      8.76%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                 848      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                   10      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     37.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu             42360203      2.78%     39.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     39.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                  281      0.00%     39.88% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             5166482      0.34%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     40.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd       164275356     10.77%     51.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     51.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     51.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt         2306550      0.15%     51.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv        93014490      6.10%     57.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     57.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult      143119073      9.39%     66.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     66.64% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt         508040      0.03%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     66.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     66.67% # Type of FU issued
