
---------- Begin Simulation Statistics ----------
final_tick                               405044018500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 168906                       # Simulator instruction rate (inst/s)
host_mem_usage                                5230092                       # Number of bytes of host memory used
host_op_rate                                   325127                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  5920.45                       # Real time elapsed on the host
host_tick_rate                               68414423                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000003                       # Number of instructions simulated
sim_ops                                    1924897099                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.405044                       # Number of seconds simulated
sim_ticks                                405044018500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1169232895                       # number of cc regfile reads
system.cpu.cc_regfile_writes                669075382                       # number of cc regfile writes
system.cpu.committedInsts                  1000000003                       # Number of Instructions Simulated
system.cpu.committedOps                    1924897099                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.810088                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.810088                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   8518014                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3016536                       # number of floating regfile writes
system.cpu.idleCycles                         3088211                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              8742692                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                240142996                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.555695                       # Inst execution rate
system.cpu.iew.exec_refs                    435558137                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  163207266                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                52958678                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             283920184                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts             195299                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts           1369218                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            171436969                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          2151386552                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             272350871                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          14673958                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            2070337828                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 170786                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              22045494                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                7754192                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              22423846                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents         121238                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      6221434                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        2521258                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2328984254                       # num instructions consuming a value
system.cpu.iew.wb_count                    2063268603                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.642300                       # average fanout of values written-back
system.cpu.iew.wb_producers                1495906002                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.546968                       # insts written-back per cycle
system.cpu.iew.wb_sent                     2066734905                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               3018657999                       # number of integer regfile reads
system.cpu.int_regfile_writes              1658497449                       # number of integer regfile writes
system.cpu.ipc                               1.234434                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.234434                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           5176065      0.25%      0.25% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1635289675     78.43%     78.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               784412      0.04%     78.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                846613      0.04%     78.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              162193      0.01%     78.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.76% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                5784      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 1560      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               245519      0.01%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     78.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               722450      0.03%     78.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1677706      0.08%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1304      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd             609      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           14361      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             114      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult            832      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     78.89% # Type of FU issued
