
---------- Begin Simulation Statistics ----------
final_tick                               209077026000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 265701                       # Simulator instruction rate (inst/s)
host_mem_usage                                5027620                       # Number of bytes of host memory used
host_op_rate                                   472330                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3763.62                       # Real time elapsed on the host
host_tick_rate                               55552055                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000000                       # Number of instructions simulated
sim_ops                                    1777670747                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.209077                       # Number of seconds simulated
sim_ticks                                209077026000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 557129657                       # number of cc regfile reads
system.cpu.cc_regfile_writes                860711309                       # number of cc regfile writes
system.cpu.committedInsts                  1000000000                       # Number of Instructions Simulated
system.cpu.committedOps                    1777670747                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.418154                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.418154                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                1356689405                       # number of floating regfile reads
system.cpu.fp_regfile_writes                553754602                       # number of floating regfile writes
system.cpu.idleCycles                          127619                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                26411                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 56047551                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     4.252842                       # Inst execution rate
system.cpu.iew.exec_refs                      1352012                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     465726                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  413245                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                957866                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                852                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1544                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               489270                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1778810762                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                886286                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             48302                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1778343168                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   2694                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 24576                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  24465                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 29190                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            262                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        15758                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          10653                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                3025659370                       # num instructions consuming a value
system.cpu.iew.wb_count                    1778313789                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.504840                       # average fanout of values written-back
system.cpu.iew.wb_producers                1527472451                       # num instructions producing a value
system.cpu.iew.wb_rate                       4.252772                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1778325853                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1615743928                       # number of integer regfile reads
system.cpu.int_regfile_writes              1195786883                       # number of integer regfile writes
system.cpu.ipc                               2.391463                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.391463                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             28524      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1084776782     61.00%     61.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult             83064658      4.67%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 26790      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 883      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                 798      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu            166125300      9.34%     75.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     75.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 4222      0.00%     75.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc            83067103      4.67%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.68% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd        55373594      3.11%     82.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     82.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     82.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt       138434043      7.78%     90.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               6      0.00%     90.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     90.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult      166120792      9.34%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              3      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     99.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     99.92% # Type of FU issued
