
---------- Begin Simulation Statistics ----------
final_tick                                 4013374500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 113390                       # Simulator instruction rate (inst/s)
host_mem_usage                                5262360                       # Number of bytes of host memory used
host_op_rate                                   218093                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    76.50                       # Real time elapsed on the host
host_tick_rate                               52463974                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     8674069                       # Number of instructions simulated
sim_ops                                      16683604                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.004013                       # Number of seconds simulated
sim_ticks                                  4013374500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9748971                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  6271773                       # number of cc regfile writes
system.cpu.committedInsts                     8674069                       # Number of Instructions Simulated
system.cpu.committedOps                      16683604                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.925373                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.925373                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     32681                       # number of floating regfile reads
system.cpu.fp_regfile_writes                    14648                       # number of floating regfile writes
system.cpu.idleCycles                          352090                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               101965                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2095587                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.334449                       # Inst execution rate
system.cpu.iew.exec_refs                      3922492                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1303080                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  699576                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2811431                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1959                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              5632                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1380642                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20106126                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2619412                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            173736                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              18738035                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   3122                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 69105                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  86663                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 74891                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            600                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        67175                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          34790                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22101654                       # num instructions consuming a value
system.cpu.iew.wb_count                      18641586                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.610618                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13495658                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.322433                       # insts written-back per cycle
system.cpu.iew.wb_sent                       18688778                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 28828071                       # number of integer regfile reads
system.cpu.int_regfile_writes                15528167                       # number of integer regfile writes
system.cpu.ipc                               1.080645                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.080645                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass             94232      0.50%      0.50% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14637550     77.40%     77.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                57260      0.30%     78.20% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                130764      0.69%     78.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                1116      0.01%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.90% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                2353      0.01%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                 20      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  179      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 3000      0.02%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   42      0.00%     78.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 2454      0.01%     78.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                2772      0.01%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                 29      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               8      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     78.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             211      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             73      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              2      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.96% # Type of FU issued
